ad_type_name,area,price,address,property_legal_document,rooms,toilets
Nhà ở,79,9200000000,Hà Nội,1.0,5.0,
Nhà ở,86,5600000000,Hà Nội,1.0,3.0,
Nhà ở,80,6500000000,Hà Nội,1.0,3.0,4.0
Nhà ở,121,8000000000,Hà Nội,1.0,4.0,4.0
Căn hộ/Chung cư,81,4450000000,Hà Nội,6.0,2.0,2.0
Nhà ở,80,27000000000,Hà Nội,1.0,8.0,4.0
Nhà ở,76,4850000000,Hà Nội,1.0,3.0,
Nhà ở,81,6800000000,Hà Nội,1.0,3.0,3.0
Nhà ở,76,3760000000,Hà Nội,1.0,2.0,3.0
Nhà ở,78,10200000000,Hà Nội,1.0,4.0,3.0
Nhà ở,74,8500000000,Hà Nội,1.0,3.0,4.0
Nhà ở,81,7900000000,Hà Nội,1.0,3.0,
Nhà ở,121,22000000000,Phùng Khoang,1.0,11.0,7.0
Căn hộ/Chung cư,123,4300000000,Hà Nội,6.0,2.0,2.0
Nhà ở,121,8200000000,Hà Nội,1.0,4.0,5.0
Nhà ở,121,6200000000,Lê Quang Đạo,1.0,3.0,4.0
Nhà ở,121,8200000000,Hà Nội,1.0,9.0,7.0
Nhà ở,86,6300000000,Hà Nội,1.0,3.0,4.0
Nhà ở,86,9950000000,Hà Nội,1.0,3.0,3.0
Nhà ở,121,5500000000,Hà Nội,1.0,3.0,4.0
Nhà ở,121,5600000000,Hà Nội,1.0,3.0,4.0
Nhà ở,75,4800000000,Hà Nội,1.0,2.0,2.0
Đất,129,9500000000,Hà Nội,1.0,,
Căn hộ/Chung cư,75,8000000,Hà Nội,6.0,1.0,1.0
Nhà ở,81,8900000000,Hà Nội,1.0,3.0,
Phòng trọ,86,1500000,Hà Nội,,,
Căn hộ/Chung cư,80,4500000000,Hà Nội,6.0,2.0,2.0
Nhà ở,86,7680000000,Hà Nội,1.0,2.0,3.0
Nhà ở,77,12900000000,Hà Nội,1.0,3.0,
Nhà ở,76,8400000000,Hà Nội,1.0,2.0,4.0
Nhà ở,80,4850000000,Hà Nội,1.0,2.0,
Đất,123,15216000000,Hà Nội,1.0,,
Căn hộ/Chung cư,80,3000000000,Hà Nội,6.0,2.0,2.0
"Văn phòng, Mặt bằng kinh doanh",75,19700000000,Hà Nội,1.0,,
Đất,81,6850000000,Hà Nội,1.0,,
Phòng trọ,89,4000000,Hà Nội,,,
Nhà ở,80,25900000000,Hà Nội,1.0,6.0,
Nhà ở,75,6900000000,Hà Nội,1.0,3.0,4.0
Nhà ở,80,20000000000,Hà Nội,1.0,4.0,
Nhà ở,81,10200000000,Hà Nội,1.0,4.0,
Nhà ở,80,6600000000,Hà Nội,1.0,5.0,3.0
Nhà ở,82,7500000000,Hà Nội,1.0,2.0,
Nhà ở,80,23500000000,Hà Nội,1.0,4.0,4.0
Nhà ở,80,7000000000,Hà Nội,1.0,5.0,4.0
Nhà ở,81,6250000000,Hà Nội,1.0,3.0,
Nhà ở,76,8900000000,Hà Nội,1.0,3.0,4.0
